"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1288","Navigation from login page to registration page","LMS system","Tue Jan 20 15:18:52 UTC 2026","passed","Tue Jan 20 15:18:53 UTC 2026","Authorization","Authentication","",""
"","1451","Check for displaying an empty courses list","LMS system","Tue Jan 20 15:18:55 UTC 2026","passed","Tue Jan 20 15:18:56 UTC 2026","Courses","Courses","",""
"","1564","User login with wrong email or password","LMS system","Tue Jan 20 15:18:50 UTC 2026","passed","Tue Jan 20 15:18:52 UTC 2026","Authorization","Authentication","",""
"","2177","User login with wrong email or password","LMS system","Tue Jan 20 15:18:48 UTC 2026","passed","Tue Jan 20 15:18:50 UTC 2026","Authorization","Authentication","",""
"","3517","User login with correct email and password","LMS system","Tue Jan 20 15:18:48 UTC 2026","passed","Tue Jan 20 15:18:51 UTC 2026","Authorization","Authentication","",""
"","1426","User login with wrong email or password","LMS system","Tue Jan 20 15:18:51 UTC 2026","passed","Tue Jan 20 15:18:53 UTC 2026","Authorization","Authentication","",""
"","2575","Create a course","LMS system","Tue Jan 20 15:18:56 UTC 2026","passed","Tue Jan 20 15:18:59 UTC 2026","Courses","Courses","",""
"","1559","Registration with correct email, username and password","LMS system","Tue Jan 20 15:18:53 UTC 2026","passed","Tue Jan 20 15:18:55 UTC 2026","Registration","Authentication","",""
"","1650","Check for displaying a dashboard page","LMS system","Tue Jan 20 15:18:59 UTC 2026","passed","Tue Jan 20 15:19:01 UTC 2026","Dashboard","Courses","",""
"","3027","Edit a course","LMS system","Tue Jan 20 15:18:57 UTC 2026","passed","Tue Jan 20 15:19:00 UTC 2026","Courses","Courses","",""
